company_id,company_name,sector,rule_id,type,triggered,confidence_pct,eligible_after_threshold,reason,latest_roe,latest_roce,latest_debt_to_equity,latest_interest_coverage,latest_free_cash_flow,latest_revenue,latest_net_profit,latest_opm,latest_eps,latest_dividend_yield,latest_total_assets,latest_borrowings,latest_net_debt,latest_ebitda,trailing_revenue_cagar,trailing_profit_cagr,trailing_eps_cagr,history_years_count,history_roe_len,history_fcf_len,history_opm_len,history_revenue_len
BOSCHLTD,Bosch Ltd,,PRO_08,pro,False,0.0,False,FCF unavailable,8300.0,12.37,1.3,42.08,,16727.0,2490.0,13.0,844.0,,17355.0,39.0,-5086.0,2525.0,5.86,6.69,7.26,12,12,12,12,12
BOSCHLTD,Bosch Ltd,,PRO_09,pro,False,0.0,False,EPS CAGR 5yr = 7.3% (<= 15%),8300.0,12.37,1.3,42.08,,16727.0,2490.0,13.0,844.0,,17355.0,39.0,-5086.0,2525.0,5.86,6.69,7.26,12,12,12,12,12
BOSCHLTD,Bosch Ltd,,PRO_10,pro,True,95.0,True,ROE improved from 1606.7% to 8300.0% over 3 consecutive YoY steps,8300.0,12.37,1.3,42.08,,16727.0,2490.0,13.0,844.0,,17355.0,39.0,-5086.0,2525.0,5.86,6.69,7.26,12,12,12,12,12
BOSCHLTD,Bosch Ltd,,PRO_11,pro,False,0.0,False,Revenue CAGR (5.9%) <= PAT CAGR (6.7%),8300.0,12.37,1.3,42.08,,16727.0,2490.0,13.0,844.0,,17355.0,39.0,-5086.0,2525.0,5.86,6.69,7.26,12,12,12,12,12
BOSCHLTD,Bosch Ltd,,PRO_12,pro,True,85.1,True,Assets growing (+12.6%) and borrowings declining (-46.6%),8300.0,12.37,1.3,42.08,,16727.0,2490.0,13.0,844.0,,17355.0,39.0,-5086.0,2525.0,5.86,6.69,7.26,12,12,12,12,12
BOSCHLTD,Bosch Ltd,,CON_01,con,False,0.0,False,D/E = 1.30 (<= 2.0),8300.0,12.37,1.3,42.08,,16727.0,2490.0,13.0,844.0,,17355.0,39.0,-5086.0,2525.0,5.86,6.69,7.26,12,12,12,12,12
BOSCHLTD,Bosch Ltd,,CON_02,con,False,0.0,False,No 3-year consecutive negative FCF streak.,8300.0,12.37,1.3,42.08,,16727.0,2490.0,13.0,844.0,,17355.0,39.0,-5086.0,2525.0,5.86,6.69,7.26,12,12,12,12,12
BOSCHLTD,Bosch Ltd,,CON_03,con,False,0.0,False,No 3-year consecutive OPM decline.,8300.0,12.37,1.3,42.08,,16727.0,2490.0,13.0,844.0,,17355.0,39.0,-5086.0,2525.0,5.86,6.69,7.26,12,12,12,12,12
BOSCHLTD,Bosch Ltd,,CON_04,con,False,0.0,False,"Latest Net Profit = 2,490 (>= 0)",8300.0,12.37,1.3,42.08,,16727.0,2490.0,13.0,844.0,,17355.0,39.0,-5086.0,2525.0,5.86,6.69,7.26,12,12,12,12,12
BOSCHLTD,Bosch Ltd,,CON_05,con,False,0.0,False,No 2-year consecutive revenue decline.,8300.0,12.37,1.3,42.08,,16727.0,2490.0,13.0,844.0,,17355.0,39.0,-5086.0,2525.0,5.86,6.69,7.26,12,12,12,12,12
BOSCHLTD,Bosch Ltd,,CON_06,con,False,0.0,False,ICR = 42.08 (>= 1.5),8300.0,12.37,1.3,42.08,,16727.0,2490.0,13.0,844.0,,17355.0,39.0,-5086.0,2525.0,5.86,6.69,7.26,12,12,12,12,12
